name;episode;addedDate;xdcc;downloaded
Shiroi Suna no Aquatope;18;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2844;1
Shiroi Suna no Aquatope;19;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3033;1
Shiroi Suna no Aquatope;20;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3235;1
Shiroi Suna no Aquatope;21;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3422;1
One Piece;1000;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3316;1
Mushoku Tensei;17;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2953;1
Mushoku Tensei;18;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3151;1
Mushoku Tensei;19;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3348;1
Kimetsu no Yaiba Mugen Ressha hen;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2044;1
Kimetsu no Yaiba Mugen Ressha hen;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2366;1
Kimetsu no Yaiba Mugen Ressha hen;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2563;1
Kimetsu no Yaiba Mugen Ressha hen;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2950;1
Kimetsu no Yaiba Mugen Ressha hen;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3149;1
Kimetsu no Yaiba Mugen Ressha hen;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3346;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2094;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2090;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2427;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2616;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2804;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3012;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3210;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3398;1
Komi san wa Comyushou desu;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2459;1
Komi san wa Comyushou desu;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2657;1
Komi san wa Comyushou desu;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2837;1
Komi san wa Comyushou desu;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3030;1
Komi san wa Comyushou desu;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3239;1
Komi san wa Comyushou desu;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3411;1
Saihate no Paladin;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1988;1
Saihate no Paladin;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2312;1
Saihate no Paladin;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2505;1
Saihate no Paladin;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2700;1
Saihate no Paladin;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2896;1
Saihate no Paladin;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3082;1
